"(de) brand·weer (zelfstandig naamwoord)","fire department"
"an·ders·om (bijwoord)","the other way around"
"ach·ter·we·ge (bijwoord)","omitted"
"krie·ge·lig (bijvoeglijk naamwoord)","peevish, irritable"
"op·hoe·pe·len (hoepelde op, opgehoepeld) (werkwoord)","to bug off, to go away"
"ge·ne·ren (geneerde, gegeneerd) (werkwoord)","to embarrass"
"ple·zant (bijvoeglijk naamwoord)","pleasant, nice, enjoyable, fun"
"bor·ste·len (werkwoord)","to brush"
"hui·len van het la·chen (uitdrukking)","to cry tears of joy"
"hulp·vaar·dig (bijvoeglijk naamwoord)","helpful"
"ver·oor·de·len (veroordeelde, veroordeeld) (werkwoord)","to condemn, to convict, to sentence"
"(de) be·schul·di·ging (zelfstandig naamwoord)","accusation, indictment"
"(de) want (zelfstandig naamwoord)","mitten"
"een tuk·je doen (uitdrukking)","to have a nap"
"blij·ven zit·ten (uitdrukking)","to repeat a class"
"de o·ver·hand ne·men (uitdrukking)","to take over, to become dominant"
"(het) na·vel·pluis (zelfstandig naamwoord)","navel lint, belly button fluff"
"paf·fen (pafte, gepaft) (werkwoord)","to smoke, to puff, to breathe in and out smoke from a cigarette/cigar/pipe"
"(de) fruit·ha·gel (zelfstandig naamwoord)","fruit-flavoured sprinkles"
"(de) slun·gel (zelfstandig naamwoord)","lanky/gawky person"
"gloei·end heet (uitdrukking)","red-/white-hot"
"(de) bob·bel (zelfstandig naamwoord)","bump, lump, bubble"
"(het) lus·trum (zelfstandig naamwoord)","five year anniversary"
"op het oog hebben (uitdrukking)","to have in mind, to consider"
"in de loop der ja·ren (uitdrukking)","over the years"
"op de schop gaan (uitdrukking)","to overhaul"
"(de) smak (zelfstandig naamwoord)","smacking of the lips"
"on·ver·hoopt (bijvoeglijk naamwoord)","unexpected, against hope or expectation"
"(de) be·keer·ling (zelfstandig naamwoord)","convert, proselyte"
"(de) maag (zelfstandig naamwoord)","stomach"
"(de) strook (zelfstandig naamwoord)","strip"
"(het) kel·ners·mes (zelfstandig naamwoord)","sommelier knife, corkscrew with bottle opener and small knife"
"bont (bijvoeglijk naamwoord)","multicoloured, colourful, variegated, motley"
"hoe·zee (uitroep)","hurray"
"(de) brand·weer·wa·gen (zelfstandig naamwoord)","fire truck/engine"
"(de) zie·len·piet (zelfstandig naamwoord)","poor thing, sad little person"
"he·den·daags (bijvoeglijk naamwoord)","contemporary, present-day, of today"
"ge·ring (bijvoeglijk naamwoord)","small, low, modest"
"(het) leed (zelfstandig naamwoord)","pain, sorrow, grief, harm"
"(de) rönt·gen·stra·ling (zelfstandig naamwoord)","X-ray(s)"
"drie·maal is scheeps·recht (spreekwoord)","third time's a charm"
"su·per-de-lu·xe (bijvoeglijk naamwoord)","very luxurious"
"(het) schrik·draad (zelfstandig naamwoord)","electric wire fence"
"kok·hal·zen (kokhalsde, gekokhalsd) (werkwoord)","to have a gag reflex, to retch"
"aan·rom·me·len (rommelde aan, aangerommeld) (werkwoord)","to mess around"
"(de) eet·tent (zelfstandig naamwoord)","eatery, restaurant"
"on·ver·de·dig·baar (bijvoeglijk naamwoord)","indefensible"
"scha·te·ren (schaterde, geschaterd) (werkwoord)","to roar (with laughter)"
"om de tuin lei·den (uitdrukking)","to lead up the garden path, to deceive"
"af en toe (uitdrukking)","every now and then, occasionally, incidental"
"(het) ge·peu·pel (zelfstandig naamwoord)","common people, hoi polloi"
"schijn·baar (bijvoeglijk naamwoord)","apparent, seeming"
